ENSG00000097007,ABL1
ENSG00000119640,ACYP1
ENSG00000163283,ALPP
ENSG00000134982,APC
ENSG00000137486,ARRB1
ENSG00000178999,AURKB
ENSG00000186716,BCR
ENSG00000136573,BLK
ENSG00000138756,BMP2K
ENSG00000003400,CASP10
ENSG00000064012,CASP8
ENSG00000110395,CBL
ENSG00000007312,CD79B
ENSG00000165410,CFL2
ENSG00000058866,DGKG
ENSG00000082458,DLG3
ENSG00000125868,DSTN
ENSG00000158050,DUSP2
ENSG00000112679,DUSP22
ENSG00000158716,DUSP23
ENSG00000139318,DUSP6
ENSG00000184545,DUSP8
ENSG00000055332,EIF2AK2
ENSG00000146904,EPHA1
ENSG00000112425,EPM2A
ENSG00000171824,EXOSC10
ENSG00000066468,FGFR2
ENSG00000122025,FLT3
ENSG00000010810,FYN
ENSG00000173230,GOLGB1
ENSG00000114745,GRASP1
ENSG00000177885,GRB2
ENSG00000160396,HIPK4
ENSG00000089289,IGBP1
ENSG00000078747,ITCH
ENSG00000113263,ITK
ENSG00000137825,ITPKA
ENSG00000143772,ITPKB
ENSG00000138030,KHK
ENSG00000112984,KIF20A
ENSG00000043462,LCP2
ENSG00000254087,LYN
ENSG00000169967,MAP3K2
ENSG00000100030,MAPK1
ENSG00000109339,MAPK10
ENSG00000185386,MAPK11
ENSG00000112062,MAPK14
ENSG00000138834,MAPK8IP3
ENSG00000050748,MAPK9
ENSG00000089022,MAPKAPK5
ENSG00000101367,MAPRE1
ENSG00000007047,MARK4
ENSG00000099875,MKNK2
ENSG00000124151,NCOA3
ENSG00000111859,NEDD9
ENSG00000149269,PAK1
ENSG00000077264,PAK3
ENSG00000130669,PAK4
ENSG00000120137,PANK3
ENSG00000133056,PIK3C2B
ENSG00000143398,PIP5K1A
ENSG00000138193,PLCE1
ENSG00000197943,PLCG2
ENSG00000173846,PLK3
ENSG00000163590,PPM1L
ENSG00000156475,PPP2R2B
ENSG00000221823,PPP3R1
ENSG00000154229,PRKCA
ENSG00000146733,PSPH
ENSG00000184489,PTP4A3
ENSG00000152104,PTPN14
ENSG00000153707,PTPRD
ENSG00000142949,PTPRF
ENSG00000155093,PTPRN2
ENSG00000060656,PTPRU
ENSG00000168297,PXK
ENSG00000136238,RAC1
ENSG00000116741,RGS2
ENSG00000137275,RIPK1
ENSG00000154447,SH3RF1
ENSG00000142168,SOD1
ENSG00000197122,SRC
ENSG00000084112,SSH1
ENSG00000198252,STYX
ENSG00000284770,TBCE
ENSG00000107140,TESK1
ENSG00000136869,TLR4
ENSG00000134970,TMED7
ENSG00000154310,TNIK
ENSG00000136205,TNS3
ENSG00000173334,TRIB1
ENSG00000247596,TWF2
ENSG00000109103,UNC119
ENSG00000124164,VAPB
ENSG00000105053,VRK3
ENSG00000128245,YWHAH
ENSG00000115085,ZAP70
